"c","n"
"Afghanistan",7
"Albania",1
"Algeria",0
"Andorra",0
"Angola",3
"Antigua and Barbuda",0
"Argentina",12
"Armenia",1
"Australia",20
"Austria",1
"Azerbaijan",0
"Bahamas",6
"Bahrain",0
"Bangladesh",4
"Barbados",1
"Belarus",0
"Belgium",7
"Belize",1
"Benin",1
"Bhutan",0
"Bolivia",6
"Bosnia and Herzegovina",0
"Botswana",1
"Brazil",17
"Brunei Darussalam",0
"Bulgaria",0
"Burkina Faso",0
"Burundi",0
"Cabo Verde",0
"Cambodia",0
"Cameroon",1
"Canada",19
"Central African Republic",0
"Chad",1
"Chile",6
"China",90
"Colombia",8
"Comoros",0
"Congo",7
"Congo",7
"Costa Rica",1
"Côte d'Ivoire",0
"Croatia",0
"Cuba",38
"Cyprus",5
"Czechia",0
"Denmark",3
"Djibouti",0
"Dominica",5
"Dominican Republic",1
"Ecuador",2
"Egypt",34
"El Salvador",2
"Equatorial Guinea",0
"Eritrea",0
"Estonia",0
"Eswatini",0
"Ethiopia",16
"Fiji",1
"Finland",1
"France",49
"Gabon",0
"Gambia",1
"Georgia",99
"Germany",18
"Ghana",7
"Greece",8
"Grenada",1
"Guatemala",4
"Guinea",1
"Guinea-Bissau",1
"Guyana",0
"Haiti",16
"Honduras",2
"Hungary",1
"Iceland",4
"India",132
"Indonesia",3
"Iran",8
"Iraq",10
"Ireland",7
"Israel",32
"Italy",12
"Jamaica",68
"Japan",70
"Jordan",62
"Kazakhstan",1
"Kenya",3
"Kiribati",0
"Korea",23
"Korea",23
"Kuwait",1
"Kyrgyzstan",0
"Lao",1
"Latvia",0
"Lebanon",6
"Lesotho",0
"Liberia",1
"Libya",3
"Liechtenstein",0
"Lithuania",2
"Luxembourg",4
"Madagascar",0
"Malawi",1
"Malaysia",4
"Maldives",0
"Mali",31
"Malta",0
"Marshall Islands",0
"Mauritania",0
"Mauritius",0
"Mexico",122
"Micronesia",0
"Moldova",0
"Monaco",1
"Mongolia",1
"Montenegro",0
"Morocco",4
"Mozambique",7
"Myanmar",1
"Namibia",1
"Nauru",0
"Nepal",3
"Netherlands",0
"New Zealand",2
"Nicaragua",4
"Niger",2
"Nigeria",2
"North Macedonia",0
"Norway",2
"Oman",1
"Pakistan",4
"Palau",0
"Panama",12
"Papua New Guinea",0
"Paraguay",1
"Peru",11
"Philippines",4
"Poland",1
"Portugal",1
"Qatar",0
"Romania",2
"Russia",59
"Rwanda",2
"Saint Kitts and Nevis",0
"Saint Lucia",0
"Saint Vincent and the Grenadines",0
"Samoa",1
"San Marino",0
"Sao Tome and Principe",0
"Saudi Arabia",0
"Senegal",0
"Serbia",1
"Seychelles",0
"Sierra Leone",0
"Singapore",13
"Slovakia",1
"Slovenia",0
"Solomon Islands",0
"Somalia",3
"South Africa",7
"South Sudan",0
"Spain",48
"Sri Lanka",5
"Sudan",2
"Suriname",0
"Sweden",5
"Switzerland",2
"Syrian Arab Republic",0
"Tajikistan",0
"Tanzaniaf",0
"Thailand",0
"Timor-Leste",0
"Togo",0
"Tonga",0
"Trinidad and Tobago",0
"Tunisia",0
"Turkey",1
"Turkmenistan",0
"Tuvalu",0
"Uganda",3
"Ukraine",6
"United Arab Emirates",0
"England",56
"USA",37
"Uruguay",0
"Uzbekistan",0
"Vanuatu",0
"Venezuela",4
"Viet Nam",1
"Yemen",1
"Zambia",2
"Zimbabwe",2
